name,flag,description,source,header,cfg,is_analysis
AMDGPUCtorDtorLoweringLegacy,-amdgpu-lower-ctor-dtor,Lower ctors and dtors for AMDGPU,lib/Target/AMDGPU/AMDGPUCtorDtorLowering.cpp,,False,False
AMDGPUDAGToDAGISel,-amdgpu-isel,AMDGPU DAG->DAG Pattern Instruction Selection,lib/Target/AMDGPU/AMDGPUISelDAGToDAG.cpp,,False,False
AMDGPUExternalAAWrapper,-amdgpu-aa-wrapper,AMDGPU Address space based Alias Analysis Wrapper,lib/Target/AMDGPU/AMDGPUAliasAnalysis.cpp,,False,True
AMDGPUInsertDelayAlu,-amdgpu-insert-delay-alu,AMDGPU Insert Delay ALU,lib/Target/AMDGPU/AMDGPUInsertDelayAlu.cpp,,False,False
AMDGPULateCodeGenPrepare,-amdgpu-late-codegenprepare,AMDGPU IR late optimizations,lib/Target/AMDGPU/AMDGPULateCodeGenPrepare.cpp,,False,False
AMDGPULowerIntrinsics,-amdgpu-lower-intrinsics,Lower intrinsics,lib/Target/AMDGPU/AMDGPULowerIntrinsics.cpp,,False,False
AMDGPULowerKernelArguments,-amdgpu-lower-kernel-arguments,AMDGPU Lower Kernel Arguments,lib/Target/AMDGPU/AMDGPULowerKernelArguments.cpp,,False,False
AMDGPULowerKernelAttributes,-amdgpu-lower-kernel-attributes,AMDGPU Kernel Attributes,lib/Target/AMDGPU/AMDGPULowerKernelAttributes.cpp,,False,False
AMDGPULowerModuleLDS,-amdgpu-lower-module-lds,Lower uses of LDS variables from non-kernel functions,lib/Target/AMDGPU/AMDGPULowerModuleLDSPass.cpp,,False,False
AMDGPUMachineCFGStructurizer,-amdgpu-machine-cfg-structurizer,AMDGPU Machine CFG Structurizer,lib/Target/AMDGPU/AMDGPUMachineCFGStructurizer.cpp,,False,False
AMDGPUOpenCLEnqueuedBlockLowering,-amdgpu-lower-enqueued-block,Lower OpenCL enqueued blocks,lib/Target/AMDGPU/AMDGPUOpenCLEnqueuedBlockLowering.cpp,,False,False
AMDGPUPerfHintAnalysis,-amdgpu-perf-hint,Analysis if a function is memory bound,lib/Target/AMDGPU/AMDGPUPerfHintAnalysis.cpp,,True,True
